character,frequency,onyomi,kunyomi,jlpt,meaning
炰,,ホウ ビョウ フウ フ,,,roast; broil; bake
炱,,タイ,すす,,soot
炷,,シュ,とうしん,,candle wick; lamp wick; stick of
烊,,ヨウ,あぶ.る や.く,,to smelt; to melt
烓,,エイ エ ケイ キョウ,かまど,,stove
烔,,トウ ズ,あつ.い,,heat
烕,,ケツ ケチ ベツ,ほろ.びる ほろ.ぼす,,to destroy; to exterminate; to extinguish
烖,,サイ,わざわ.い,,"calamities from Heaven, as floods, famines, pestilence, etc.; misery"
烘,,コウ キョウ ク,かがりび あぶ.る,,bake; roast; grill; dry by fire
烜,,ケン テン カン キ,かわ.かす,,light of the sun; to dry in the sun
烤,,コウ,あぶ.る,,bake; roast; toast; cook
烺,,コウ ロウ,ひ,,(said of fire) bright
焄,,クン,いぶ.す,,rising flames; rising fumes; aroma
焌,,シュン ソン サン,や.く,,to light
焞,,トン タイ ツイ,あき.らか,,dim
焠,,サイ スイ,や.く,,anneal; temper; burn
焰,,エン,ほのお,,flame; blaze; glowing; blazing
焱,,エン ケキ キャク,ほのお,,flames; blaze
煁,,シン,かまど,,hearth
煅,,タン,きた.える,,forge metal; perfect one's skill
煆,,カ ケ,あつ.い,,raging fire
煇,,キ ケン カン クン,ひかり,,weld; solder
煊,,ケン カン,あたた.か,,warm
煒,,イ キ,,,brilliant red; glowing
煜,,イク オウ,かがや.く,,bright; shining; brilliant
煞,,サツ サイ セツ,ころ.す そ.ぐ,,malignant deity; baleful; noxious; strike dead
煠,,ヨウ チョウ ソウ ジョウ,や.く いた.める ゆ.でる,,to fry in fat or oil; to scald; to seethe; to boil
煨,,ワイ ウツ ウチ,うずみび,,to stew; simmer; banked fire
熀,,ヨウ キョウ コウ,さかん,,the blaze of fire; dazzling
熅,,ウン オン,うずみび いき.れ,,smooth out; iron out; sultriness
熇,,コク カク コウ,あつ.い,,bake
熒,,ケイ ギョウ コウ,ひかり,,shine; shimmer; shining; dazzling
熛,,ヒョウ,,,blaze
熠,,ユウ シュウ,ひかり,,bright and sparkling
熯,,ゼン ネン ガン,かわく,,by fire
熰,,オウ ウ,まるやき,,great drought; heat
熲,,ケイ キョウ,ひかり,,bright
熺,,キ,あぶ.る あか.るい,,dim light; glimmer; warm
燀,,セン タン,たく,,to make a fire; blaze
燁,,ヨウ ユウ オウ,さかん,,bright; glorious; splendid; flame
燄,,エン,ほのお,,flame; blazing; brilliant
燋,,ショウ セキ シャク,たいまつ,,scorch; burn; scald; torch; bonfire
燖,,シン セン,に.る,,re-heat food
燙,,トウ,あたた.める,,scald; heat; wash; iron clothes
燜,,モン,,,simmer; cook over slow fire
燾,,トウ チュウ ジュ,てらす,,shine; illuminate; cover; envelop
爇,,ゼツ ネチ ゼイ ネイ ネツ,や.く,,burn
爓,,エン セン,ひかり,,flame; brilliant; blazing
爚,,ヤク シャク,,,bright; fiery
爟,,カン ケン,や.く,,fire
爫,,,,,claw radical (no. 87)
爸,,ハ,,,father; papa
爹,,タ,,,father; daddy
牁,,カ,くい,,mooring stake; painter; mooring
牂,,ソウ,めひつじ,,female sheep; ewe
牏,,チュ ユ シュ,,,privy hole
牐,,ソウ ジョウ,いたがこい,,sluice; flood gate; canal lock
牓,,ホウ,かじ たてふだ ふだ,,tablet; public notice; register
牕,,ソウ ス,まど てんまど けむだし,,window
牖,,ユウ ユ,まど,,window; lead enlightenment
牜,,,,,ox; cow; cow radical (no. 93)
牠,,タ,,,it
牣,,ジン ニン,み.ちる,,fill; stuff; full
牯,,コ ク,おうし,,cow; bull; ox
牷,,セン,いけにえ,,cow or ox of one color; perfect
牸,,シ,め.す,,the female of certain animals; to bring forth young (of animals)
牼,,コウ キョウ カン ケン,,,man
犄,,イ キ,,,animal horns
犉,,ジュン ニン ゼン ネン,,,ox with yellow hair and a black head
犍,,ケン コン,,,bullock; fabulous monster
犎,,ホウ フ,,,the zebu; humped-ox
犛,,ボウ ミョウ モウ リ,からうし や.く,,black ox; yak
犨,,シュウ シュ,,,panting of cow; grunting of ox
犭,,,,,dog; dog radical (no. 94)
犴,,カン,,,wild dog (not very large); lock-up
狁,,イン,,,tribe of Scythian nomads
狉,,ヒ,こだぬき,,fox-cub
狘,,ケツ カチ,,,jump
狥,,シュン,あまね.し したが.う とな.える,,follow
狴,,ヘイ ハイ,,,kind of tapir; fierce beast depicted on the door of prisons
狺,,ゲン ゴン ギン,,,the snarling of dogs
狻,,サン シュン,,,fabulous beast
猇,,オウ ヨウ コウ キョウ,うそぶ.く いか.る しし たた.く,,the roar of a tiger; to intimidate; to scare
猋,,ヒョウ,,,wind; storm; gale; dog moving
猓,,カ,,,monkey
猘,,セイ ケイ,,,fierce dog; furious; frenzied
猙,,ソウ ショウ,,,fierce-looking; ferocious
猢,,コ,,,kind of monkey found in W. China
猨,,エン,さる,,ape
猬,,イ,はりねずみ,,vulgar; wanton; low; many; varied
猱,,ドウ ノウ ジュウ ニュウ,さる,,monkey with yellow hair
猲,,カツ カチ リョウ ケツ,おおかみ,,smoke or flames from fire; to roast
猺,,ヨウ,,,jackal; name of a tribe
猻,,ソン,さる,,monkey
獃,,ガイ,おろ.か,,dull; dull-minded; simple; stupid
獐,,ショウ,のろ,,roebuck; hornless river deer
獒,,ゴウ,いぬ,,mastiff; large fierce dog
獘,,ヘイ ヘツ ベチ,,,collapse
獝,,キツ キチ イツ イチ,くる.う,,devil
獞,,トウ ズ,,,name of a variety of dog; wild tribes in South China
獠,,リョウ ロウ トウ,かり,,to hunt at night by torches
獧,,ケン,はねおど.る,,rash; honest and straightforward
獫,,ケン レン,,,dog
獬,,カイ ゲ,,,fabulous monster
獮,,セン,かり,,hunt; autumn hunting; to capture with a fine net
獯,,クン,,,tribe of Scythians which invaded China during the Hsia dynasty
獱,,ヘン ヒン,,,kind of otter
獷,,コウ キョウ ク,あら.い,,fierce; rude; uncivilized
獹,,ロ ル,いぬ,,hound
獼,,ビ ミ,さる,,macacus monkey
玀,,ラ,,,pig; Holo aboriginal tribe
玁,,ケン レン,,,dog with a long snout or muzzle
玃,,キャク カク ケキ ク ワク,おおざる,,large ape found in W. China
玅,,ミョウ ビョウ,たえ,,mysterious; subtle; exquisite
玆,,シ ケン,しげ.る ます むしろ ここに,,now; here; this; time; year
玎,,テイ チョウ トウ,,,jingling; tinkling
玓,,テキ チャク,ひか.る,,pearly
玕,,カン,,,inferior variety of gem
玗,,ウ,,,1/2 pr stone
玘,,キ,たま,,court-dress jewels
玞,,フ,,,inferior agate
玟,,ビン ミン バイ マイ ブン モン,,,streaks in jade; gem
玠,,カイ,,,large jade tablet used by official
玥,,ゲツ ガチ,,,mysterious gem; pearl
玦,,ケツ ケチ,,,broken piece of jade
玫,,バイ メ マイ,,,rose
玷,,テン,か.ける,,flaw in gem; flaw in character
玼,,セイ サイ サ シ,あざ.やか,,beautiful color of gem; flaw in gem
珉,,ビン ミン,,,stone resembling jade
珌,,ヒツ ヒチ ヘツ ベチ,かざり,,ornament
珏,,カク コク,,,two pieces of jade joined together
珓,,コウ キョウ,,,two hemispherical objects
珖,,コ コウ,たま,,karat
珙,,キョウ コウ,,,precious stone; Xian in Sichuan
珣,,シュン,たま,,name of a kind of jade
珦,,キョウ ドウ ショウ,,,kind of jade
珧,,ヨウ,たいらぎ,,mother-of-pearl
珩,,コウ ギョウ,,,the top gem of the pendants
珷,,ブ ム,,,1/2 pr st
珹,,セイ ジョウ,たま,,type of jade; pearl
珺,,クン,,,beautiful jade
珽,,テイ チョウ,,,jade tablet
琀,,カン ゴン,ふくみだま,,gems of pearls formerly put into the mouth of a corpse
琁,,セン ケイ,,,beautiful jade; star
琇,,シュウ シュ ユウ ウ,,,coarse variety of jasper or jade
琊,,ヤ,,,(arch.) place in eastern Shandong
琛,,チン シン,たから,,treasure; valuables
琤,,ソウ ショウ,,,jade of jade being; tinkle
琦,,キ,たま,,gem; precious stone; jade
琨,,コン,,,beautiful jade; precious stones
琪,,キ,たま,,type of jade
琫,,ホウ フ,,,ornament
琬,,エン オン ワン,,,the virtue of a gentleman; jade
琭,,コク ロク,たま,,jade like stone
琮,,ソウ ス,,,octagonal piece of jade with hole in middle
琯,,カン コン,,,jade tube used as an instrument
琰,,エン,,,jewel; gem; glitter of gems
琱,,チョウ チュウ,,,engrave; inlay; carve; exhaust
瑀,,ウ,,,stone resembling jade; agate
瑄,,セン,,,ornamental piece of jade several
瑇,,タイ,たいまい,,tortoise shell
瑋,,イ,,,type of jade; rare; valuable
瑑,,テン,うきぼり,,carve; engrave; cut out; sculpt
瑗,,エン オン カン ゲン,,,large ring of fine jade
瑨,,シン,,,jade look alike stone
瑭,,トウ,たま,,kind of jade
瑱,,テン チン シン,みみだま,,gem used as ear plug; jade earring
瑲,,ショウ ソウ,,,tinkling sound tinkling of pendant gems
璀,,サイ スイ,,,lustre of gems; glitter; shine
璅,,ソウ サ,,,gem
璆,,キュウ ク ユウ ユ,,,beautiful jade; tinkle
璇,,セン,,,beautiful jade; star
璉,,レン リン,うつわ,,vessel used hold grain offerings
璐,,ロ,,,beautiful variety of jade
璘,,リン,,,luster of jade
璚,,ケイ ギョウ ケツ ケチ,,,splendid
璜,,コウ オウ,,,jade ornament semicircular in shape
璟,,エイ ヨウ ケイ キョウ,,,luster of gem
璠,,ハン ボン,たま,,piece of precious jade
璡,,シン,,,jade look alike stone
璣,,キ ケ,たま,,pearl that is not quite round
璦,,アイ,,,fine quality jade
璨,,サン,,,gems; luster of gems; lustrous
璩,,キョ ゴ,,,jade ring; earrings; surname
璪,,ソウ,かざり,,pearl pendants on coronet
璫,,トウ,みみかざり,,pendant ornaments; earrings
璲,,スイ,,,pendant girdle ornament
璵,,ヨ,,,beautiful jade
璿,,セン ケイ ケ,,,fine jade
瓈,,レイ ライ リ,,,glass
瓌,,カイ,たま めずら.しい,,extraordinary; fabulous
瓘,,カン,たま,,jade
瓚,,サン,,,ceremonial libation cup
瓛,,カン ケン コン,,,sceptre
瓞,,テツ デチ,,,young melons just forming
瓟,,ハク ホウ ビョウ,,,the bottle-gourd
瓤,,ショウ ニョウ ドウ ノウ,うりわた,,flesh; core; pulp; pith
瓯,,オウ,ほとぎ はち かめ,,bowl; cup; small tray
瓴,,レイ リイ リョウ,かめ,,concave channels of tiling; long-necked jar
瓻,,チ テキ チャク,かめ,,jar
瓿,,ホウ フ,かめ,,jar; pot
甒,,ブ ム,かめ,,jar
甖,,オウ エイ ヨウ,もたい ほとぎ かめ,,pot; pitcher; small-mouthed earthenware pot
甗,,ゲン ゴン,こしき,,earthenware vessel in two parts
甡,,シン,,,abundant; numerous; crowd
甤,,ズイ ニ,,,drooping leaves; fringe soft; delicate
甩,,シュツ,,,throw away; discard
甯,,ネイ ニュウ デイ ニョウ,ねが.い,,peaceful
甽,,ケン ケイ キョウ,みぞ,,drain between fields; irrigation
甾,,シ,かめ,,ground that has been under cultivation for one year; evil; calamity
甿,,モウ ミョウ ボウ,,,farming population
畀,,ヒ,あた.える たま.う,,to give
畇,,イン シュン キン,たがや.す,,land
畎,,ケン テイ キョウ,みぞ,,drain between fields; irrigation
畐,,フク ヒョク ヒキ,,,to fill; roll of cloth
畒,,ボウ ホ モ ム,せ うね,,Chinese land measure; fields
畟,,ショク シキ ソク,,,plough
畯,,シュン,,,rustic; crude
畱,,リュウ ル,と.める と.まる とど.める とど.まる るうぶる,,to detain; to entertain; to keep; to put by
畺,,キョウ コウ,さかい,,boundary; border
畽,,トン タン トウ ツ,そろわない,,ground
畾,,ルイ ライ スイ,とりで,,fields divided by dikes
疐,,チ シ テイ タイ,つまず.く,,fall; stumble; falter; hindered
疒,,ダク ニャク ソウ ジョウ シツ,や.む,,trailing sickness; sick radical (no. 104)
疕,,ヒ,できもの,,head sores
疙,,ギツ ゴチ キ ケ,おろ.か,,pimple; sore; boil; wart; pustule
疢,,チン,,,aching of limbs; muscular pains
疤,,ハ ヘ,やまい,,scar; cicatrix; birth-mark
疴,,ア,やまい,,illness; sickness; disease; pain
疿,,ヒ,あせも,,prickly heat; rash
痀,,ク ウ,せむし,,crouch; hunchback
痁,,セン テン,おこり,,chronic malaria
痄,,サ ジャ,,,scrofulous swellings and sores
痌,,トウ ズ,いた.む,,ache; be in pain; painful
痏,,イ ユウ ウ,うちきず,,bruise; contusion
痗,,バイ マイ カイ,や.む,,ill
痜,,トク,かさ,,scabby bald head
痠,,サン,いた.む,,aching of limbs; muscular pains
痡,,ホ フ,や.む,,disease; ailment
痤,,サ,はれもの えのご,,swelling of the lymph glands
痧,,サ,これら,,cholera; colic
痮,,チョウ,は.れる ふく.らむ ふく.れる,,swelled belly; dropsical; to swell; inflated
痯,,カン,や.む,,sick
痱,,ヒ ハイ,,,heat rash; prickly heat; ulcers
痹,,ヒ,しび.れる,,paralysis; numbness
瘀,,ヨ オ,やまい,,hematoma; contusion; extravasated
瘂,,ア,おし,,dumb
瘃,,ショク ソク チョク トク,しもや.け,,sores from cold
瘈,,ケイ セイ,くる.う,,prolonged fever; chronic malaria
瘊,,コウ グ,いぼ,,warts; pimples
瘌,,ラツ ラチ ライ,きず,,severe; poisonous; dangerous; itch and other skin diseases
瘏,,ト ズ,や.む,,ill
瘓,,タン,や.む,,paralysis; numbness of limbs
瘕,,カ ケ,やまい,,asthma; disease of the bowels
瘖,,イン オン,おし,,dumb; mute; unable speak
瘙,,ソウ,かさ,,itch
瘜,,ショク ソク,,,polypus
瘝,,カン ケン,や.む,,illness; pain; neglect; useless
瘞,,エイ,うず.める,,bury; inter
瘥,,サ シャ サイ,い.える,,to recover from any disease; an epidemic
瘦,,ソウ チュウ シュウ チュ,やせ.る,,thin; emaciated; lean; meager
瘩,,トウ,はれもの,,pimples
瘭,,ヒョウ,はれもの,,whitlow
瘲,,ショウ シュ,ひきつ.け,,spasms or convulsions in young children; caused by indigestion
瘳,,チュウ チュ リョウ,い.える,,to be healed; to reform
瘵,,サイ セイ,や.む,,wasting disease
瘸,,カ クウ,,,lameness; paralysis of hands; leg
瘺,,ル ロウ,せむし かさ できもの,,anal fistula; tumor; sore
瘼,,バク マク,や.む,,sickness; distress
癊,,イン オン,,,disease of the heart
癀,,コウ オウ,,,jaundice
癃,,リュウ リュ,つか.れる,,weakness; infirmity; retention of urine
癉,,タン タ,やす.む,,to hate bitterly; drought; dry
癕,,ヨウ,はれもの,,loss of the sense of smell
癙,,ショ,,,ill
癟,,ハツ ヘツ ベチ,とべない,,shrivelled up; dried up; vexed
癤,,セツ セチ,かさ,,pimple; sore; boil
癥,,チョウ,しこり,,obstruction of bowels
癭,,エイ ヨウ,こぶ,,swelling; goitre
癮,,イン オン,はれもの,,rash; addiction; craving; habit
癯,,ク,やせ.る,,thin; emaciated; worn; tired
癱,,タン,しび.れる,,paralysis; palsy; numbness
皁,,ソウ,しもべ,,black; police runners (from the black clothes formerly worn by them)
皜,,コウ,,,white; bright; clear; pure
皝,,コウ オウ,,,luminous; bright hoary; white
皤,,ハ ハン,,,white; grey; corpulent
皥,,コウ,あき.らか,,bright; brilliant
皦,,キョウ,しろ.い,,bright white; bright; clear
皭,,シャク ザク ショウ,しろ.い,,white; bright; clear; clean
皽,,テン セン シュウ タン,かわ,,scurf
盅,,チュウ ジュ,むな.しい,,small cup; small bowl
盌,,ワン,,,bowl; basin; cup
盎,,オウ,はち,,cup; pot; bowl; abundant
盔,,カイ,はち,,helmet; bowl; basin
盙,,フ,,,basket; square outside and round inside; used to hold boiled grain in State worship
盦,,オウ アン オン,ふた,,lid of a cauldron; Buddhist cloister
盬,,コ ク,あらしお,,salt pit; leisure; pot; drink
盱,,ク ウ コ,,,wide open eyes; to gaze in astonishment
盹,,シュン,,,to doze; to nap; to nod
盼,,ハン ヘン フン,,,look; gaze; expect; hope for
眆,,ホウ,ほの.か なら.う,,indistinct
眊,,ボウ モウ バク マク,くら.い,,dim-sighted; eyes not seeing clearly
眎,,シ,み.る,,look at; inspect; observe; see
眕,,シン チン,,,restraint
眙,,チ チョウ イ,み.つめる,,to gaze at
眚,,セイ ショウ,,,disease of the eyes; crime; fault
眢,,ワン エン オン,,,eyes without brightness
眨,,ソウ ショウ,またた.く,,wink
眯,,ベイ マイ ビ ミ,くる.む,,be blinded
眴,,ケン シュン,またた.く めくわ.す めくわ.せる,,dazzled; signal with eyes
眵,,シ,,,eyes diseased and dim
眶,,キョウ コウ,まぶた,,eye socket; rim of eye; eyelid
眹,,チン ジン ショウ,ひとみ,,pupil
眽,,バク ミャク ベキ,,,to gaze; to ogle; to look at
眾,,シュウ シュ,おお.い,,masses; people; multitude; crowd
睅,,カン ゲン,,,big-eyed
睆,,カン ゲン ワン,,,bright
睊,,エン ダン,ぬすみ.みる,,see; look; gaze at; askance
睍,,ケン,,,look at with fear; over-cautious
睎,,キ ケ,,,to long for; to gaze at
睏,,コン,ねむ.る,,be tired; sleepy
睒,,セン ダン,ぬすみ.みる,,to glance at; to peep; glittering; to shine
睖,,チョウ リョウ,みる,,to stare straight ahead
睜,,セイ ジョウ,めっき,,open eyes; stare
睞,,ライ,みる,,squint at; sidelong glance
睟,,スイ サイ,あき.らか,,clear-eyed
睠,,ケン,かえり.みる,,to care for; love
睢,,キ ケイ ケ スイ,みあ.げる,,gaze at; stare at; uninhibited; open eyes wide
睪,,エキ ヤク ジョウ ニョウ,うかがい.める,,spy on
睬,,サイ,,,notice; pay attention to
睽,,ケイ ケ キ,,,staring
瞀,,ボツ ボウ モ ム バク マク,,,to look at closely; nearsighted; dim; indistinct vision
瞄,,ビョウ,み.つめる,,take aim at; look at
瞌,,コウ,,,doze off; sleepy
瞍,,ソウ ス ショウ,めくら,,blind; no pupil in the eye
瞕,,ショウ,かす.む,,cataract in the eye
瞖,,エイ,,,cataract; film over the eye
瞟,,ヒョウ,み.る,,glare at; look askance at; squint; scrutinizing search
瞢,,ボウ ム モウ,くら.い,,obscured eyesight; to feel ashamed
瞧,,ショウ,ぬすみ.みる,,glance at; look at; see
瞪,,トウ,みは.る,,stare at
瞯,,カン ケン,うわめづかい ながしめ,,to peep; to spy
瞵,,リン レン,ひとみ,,to stare at
矉,,ヒン,にら.む,,an angry glare; to open the eyes with anger
矑,,ロ ル,みる,,the pupil of the eye; to see
矕,,バン マン ラン,み.る みそな.わす,,see; witness; inspect
矙,,カン,み.る,,view
矞,,イツ イチ シュツ ジュチ,,,bore with awl; bright; charming
矟,,サク,ほこ,,8 ft lance
矬,,サ,,,dwarf
矰,,ソウ,,,arrow with attached silk cord
矱,,ワク,ものさし,,measure; standard; criterion
矴,,テイ,いかり,,anchor
矸,,カン,きぬた,,rock; cliff
矻,,コツ クチ カツ カチ,いし,,toil; slave away; busy
砆,,フ,いし,,1/2 pr stone
砍,,カン コン キン,き.る,,hack; chop; cut; fell
砑,,ガ ゲ,する,,to grind; to calender; to polish; to roll with a stone roller
砝,,キョウ コウ ホウ,かた.い,,balance weights
砢,,ラ カ,いしづみ,,pile of stones
砣,,タ,いし,,stone roller; heavy stone; weight; plummet
砭,,ヘン,いしばり,,stone probe; pierce; counsel
砮,,ド ヌ,やじり,,arrow-tip
砰,,ホウ ヒョウ,,,sound of crashing stones; bang!
砵,,オウ ハツ,,,syllable
砷,,シン,,,arsenic
硃,,シュ,,,red mole; cinnabar
硇,,ドウ ニョウ,,,kind of mineral
硎,,ケイ,といし,,whetstone
硒,,セイ,,,Selenium (element)
硜,,コウ キョウ ケイ,,,sound of stones knocking together
硤,,コウ ギョウ,,,(arch.) town in Hebei province
硨,,シャ,,,giant clam; tridacna gigas
确,,カク,,,sure; certain; real; true
硾,,ツイ ズイ ダ,つ.く,,weight
碏,,シャク サク セキ,つつし.む,,coloured
碔,,ブ ム,,,1/2 pr stone
碘,,テン,,,iodine
碡,,トク チク ジク,,,stone roller used to level fields
碞,,ガン,いわ けわ.しい,,room made of stone; watch-tower
碟,,カツ ガチ セツ ゼチ,かわぐつ,,small dish; plate
碬,,カ ケ ゲ,といし,,whetstone; tool grinder
碭,,トウ,いし,,brilliantly colored veined stone
碰,,ホウ,ぶつか.る,,collide; bump into
碱,,ケン カン セン,あ.く,,alkaline; alkali; lye; salt
碳,,タン,,,carbon
碻,,カク コウ,たし.かめる,,solid
磇,,ヒ ヘイ,,,arsenic
磉,,ソウ,いしずえ,,stone base; plinth of a pillar
磎,,ケイ,たに たにがわ,,mountain stream; creek
磒,,イン エン ウン,おち.る,,to fall from; to fall into
磕,,カイ コウ カツ カチ,,,hit; collide; knock into; sound
磛,,サン セン,けわ.しい,,cliff
磟,,リク ロク,,,mediocre; busy; occupied; roller
磠,,ロ,すな,,sal ammoniac; sand; pebble
磡,,カン コン,,,cliff; ledge; bank; step
磪,,サイ スイ,けわ.しい,,high mountain; precipitous
磷,,リン ロウ リョウ,なが.れる うすい うす.らぐ きらら,,Phosphorus (element); water rushing between rocks
磺,,コウ,あらがね,,Sulphur (element); brimstone
磻,,ハン ハ,いし,,tributary of Wei river in Shaanxi
礟,,ホ ホウ,いしはじき,,ancient ballista for throwing heavy stones; cannon; gun
礧,,ライ ルイ,,,roll
礱,,ロウ ル,と.ぐ,,grind; sharpen; mill
礴,,ハク,ま.じる,,fill; extend
礵,,ソウ,ひそ,,arsenic
礻,,シ,,,cult; showing radical (no. 113)
礽,,ジョウ ニョウ,さいわ.い,,blessings; happiness
礿,,ヤク ヨウ,まつり,,sacrifice
祅,,ヨウ,わざわ.い,,calamities; disasters
祆,,ケン テン,,,Ormazda; god of the Zoroastrians (extended to god of the Manicheans)
祊,,ホウ ヒョウ,まつり,,river in Shandong; space inside
祏,,セキ ジャク,いはい,,shrine
祔,,フ,あわせまつ.る,,worship one's ancestors; entomb
祘,,サン,かぞ.える,,to calculate
祛,,キョ コ,はら.う,,expel; disperse; exorcise
祜,,コ,さいわ.い,,blessing; happiness; prosperity
祧,,チョウ,,,an ancestral hall
祫,,コウ ギョウ,まつ.る,,triennial sacrifice one's ancestor
祲,,シン,,,ominous or sinister spirit; vigor
祼,,カン,まつり,,libation
禋,,イン エン,まつ.る,,offer sacrifice; sacrifice
禓,,ヨウ ショウ,まつり,,"to drive out demons, etc., (as was done at the new-year)"
禔,,シ テイ ダイ,さいわ.い,,happiness; peace; good fortune
禕,,イ,よい,,excellent; rare; beautiful; fine
禖,,バイ マイ,,,sacrifice
禘,,テイ ダイ,まつり,,imperial ancestor worship
禜,,エイ ヨウ,,,sacrifice
禡,,バ メ,まつり,,sacrifice place for military purposes
禨,,キ ケ,きざし,,pray for good fortune
禫,,タン ドン,まつり,,sacrifice offered on anniversary
禱,,トウ,いの.る まつ.る,,pray; entreat; beg; plead; prayer
禴,,ヤク ヨウ,まつり,,sacrifice
禸,,ジュウ ニュ,あしあと,,rump; footprint radical (no. 114)
离,,チ リ,,,rare beast; strange; elegant
秇,,ゲイ ウン,う.える のり わざ,,skill; ability in handicraft a craft; an art; calling; trade; accomplishment
秈,,セン,うるち,,non-glutinous long grain rice
秊,,ネン,とし,,year; new-years; person's age
秏,,コウ カイ ボウ モウ,,,to waste; to destroy; to diminish (hence it came to mean a rat)
秔,,コウ,うるち ぬか,,non-glutinous (ordinary) rice
秠,,ヒ フウ フ ヒュウ ヒュ,くろきび,,millet
秪,,チ,みの.る,,only; merely
秫,,ジョツ シュツ チュツ,もちあわ おけら,,glutinous variety of millet
秭,,シ,,,one thousand millions; sometimes used for one hundred millions
秸,,カツ ケチ カイ,わら,,stalks of millet; corn
稂,,ロウ リョウ,いぬあわ,,grass; weeds
稇,,コン,う.れる くく.る,,to bind; as faggots of sheaves
稉,,コウ,うるち ぬか,,non-glutinous rice
稊,,テイ ダイ,いぬびえ,,darnels; tares
稌,,ト ズ ショ,いね,,glutinous rice
稑,,リク ロク,わせ,,rice
稛,,コン キン クン,くく.る,,bind
稞,,カ ゲ ラ,むぎ,,grain ready for grinding; grain
稭,,カツ ケチ カイ,わら,,stalk of grain; rice; corn; hemp
稺,,チ ジ,いと.けない おさな.い おくて おご.る,,infancy
穄,,セイ サイ,くろきび,,panicled millet
穅,,コウ,ぬか むな.しい,,"chaff; bran; husks of grain; (from which comes: poor, remiss)"
穇,,サン シン,ひえ,,deccan grass; barnyard grass
穈,,ボン モン ビ ミ,,,millet
穌,,ソ,かきあつ.める,,revive; to rise again; collect
穜,,トウ ズ ショウ シュ,おくて,,rice
穟,,スイ,ほ,,ear of grain; ripe grain
穠,,ジョウ ニュ,しげ.る,,thick; lush; in clusters
穧,,セイ ザイ シ,かりいね,,sheaf
穪,,ショウ,たた.える とな.える あ.げる かな.う はか.る ほめ.る,,to praise
穭,,リョ ロ,,,wild grain
穵,,アツ エチ,あな,,deep hollow; gouge; dig out
穸,,セキ ジョク キュウ,よ.る,,the gloom of the grave; tomb or grave; death
窀,,チュン トン タン,あつ.い,,to bury
窅,,ヨウ オウ ベン メン,,,far; deep; sunken eyes; sad
窆,,ビン ホウ ヘン,ほうむ.る,,to put a coffin in a grave
窊,,ワ エ ユ,くぼ.む,,pit; vault; store in pit
窑,,ヨウ,かま,,kiln; coal mine pit
窔,,ヨウ,ふか.い,,corner
窞,,タン ドン ラン,あな,,pit
窠,,カ,す,,nest; hole; indentation; den
窣,,ソツ ソチ,,,to rush out of a den; rustling; whispering
窬,,ユ トウ ズ,くぐりど,,small door or window; hole in the wall; to cut through a wall; dig or bore hole
窳,,ワ エ ユ,くぼ.む,,dirty; useless; weak; powerless; cracked; flaw
窵,,チョウ トウ,おくふか.い,,deep; distant
竆,,キュウ キョウ,きわ.める きわ.まる きわ.み,,exhausted; impoverished; poor
竉,,ロウ ル,あな,,hole; cleft; empty
竑,,コウ オウ,ひろ.い,,be vast and endless; broad
竽,,ウ,ふえ,,ancient woodwind instrument
竾,,チ シ,ふえ,,flute
笔,,ヒツ,ふで,,writing brush; write; stroke
笧,,サク,しがら.む,,twine around; check a current (with a weir)
笪,,タン タツ タチ,う.つ,,coarse mat of rushes or bamboo
笭,,レイ リョウ,ちりよけ,,bamboo screen
笮,,サク シャク,せま.い,,boards which support tiles on roof
笯,,ド ヌ ダ ナ,とりかご,,bird-cage
笰,,フツ フチ ヒ,おお.い,,curtain
笱,,コウ ク,,,"basket trap for fish, placed in the opening of a weir"
笴,,カ コウ カン,やがら,,arrow shaft
筁,,キョク コク,かいこの.す,,bamboo frame on which silkworms spin their cocoons
筇,,キョウ ク,たけ,,bamboo name; bamboo staff
筠,,イン ウン,たけ,,bamboo skin; bamboo
筤,,ロウ リョウ,かご,,young bamboo
筦,,カン,ふえ くだ,,key; to be in charge; pipe
筩,,トウ ズ ヨウ ユ,,,bamboo tube or pipe; fish hook
筭,,サン,そろばん かぞ.える,,an ancient device for working with numbers; count; calculate; figure
筯,,チョ ジョ,はし,,chop-sticks; tongs
筲,,ソウ ショウ サク,かご,,basket; bucket
筳,,テイ チョウ ジョウ,いとくだ,,feast
筷,,カイ,はし,,chopsticks
箎,,コ ク チ ジ,,,ancient woodwind instrument
箐,,セイ ショウ セン,,,to draw a bamboo bow or cross-bow
箑,,ソウ ショウ,おうぎ,,fan
箛,,コ ク,ふえ,,bugle
箠,,スイ,たけ,,horse whip; flog
箬,,ジャク ジョク ニャク ヒャク,たけのかわ,,the cuticle of the bamboo a broad-leaved bamboo
箯,,ヘン,たけごし,,bamboo palanquin
篔,,ウン エン,たけ,,tall bamboo
篙,,コウ,さお,,pole used punt boat
篚,,ヒ,はこ,,round or oval covered-baskets with short legs
篛,,ジャク ジョク ニャク ヒャク,たけのかわ,,cuticle of bamboo plant
篨,,チョ ジョ,たけむしろ,,coarse bamboo mat; ugly
篪,,チ シ,ふえ,,bamboo flute with seven holes
篲,,スイ エ ケイ セイ,ほうき,,broomstick
篴,,テキ チャク チク ジク,ふえ,,bamboo flute; whistle
篹,,サン ゼン,かたみ,,to rob; to collect; to edit; bamboo basket
