character,frequency,onyomi,kunyomi,jlpt,meaning,keyword,story1,story2
闇,1969,アン オン,やみ くら.い,,get dark; gloom; disorder,pitch dark,"Through the gates of hell there is no sound, no light, its all pitch dark.","I like to think of a horror movie where the protagonists enter a graveyard when suddenly their flashlights go out and it becomes pitch dark, whereupon they hear the sound of the gate creaking shut behind them."
鞍,2214,アン,くら,,,saddle,A saddle is leather that helps you relax on horseback.,"Save a horse, ride your woman inside your house in a leather saddle instead. (Just to pick up competition with mantixen's story ^_^)."
杏,2159,キョウ アン コウ,あんず,1,,apricot,From the tree straight into the mouth is the best way to eat an APRICOT!,Imagine Totoro sleeping under his tree. As he snores a giant apricot falls nicely into his open mouth and he emits a giant burp of satisfaction. I can hear that music alreay....to - to to - to - ro...
以,126,イ,もっ.て,3,because; in view of; compared with,by means of,"A man earns his living by means of the plow. I imagine a sweating man dragging a bronze-age ""ard"" behind him as he plows his field himself, too poor to afford an ox.","By means of a plow and a sweat drop on his brow, a person earns his living."
伊,703,イ,かれ,1,that one,Italy,"The ""boot"" of Italy has gotten Europe all muddy. Who else could mop it up but Mr T?","Here I have Mister T cleaning up with a mop, a real mess of spaghetti, in front of the Piza (in Italy)."
位,276,イ,くらい ぐらい,2,grade; throne; crown; about; some,rank,Mr T ranks first position in the stand-up competition (doing knee flexions). Just picture him doing hundreds of these while the rest of the participants are already completely exhausted after a mere hundred.,Rank A person's standing.
依,906,イ エ,よ.る,2,depend on; consequently; therefore; due to,reliant,Mr T is reliant (depends on) on his garment (the gold chains).,Mr. T. is so self-reliant he even makes his own garments.
偉,1639,イ,えら.い,2,greatness; remarkable; conceited; famous; excellent,admirable,"Mr. T is certainly an ADMIRABLE PERSON, so much so that parents are buying lockets with his picture in it and having their children wear them like amulets.","For locket: The locket (key dangling from something, the vertical stroke) opens like a mouth, but you need a jeweler's monocle to make out the pictures within. ----- Dracula survives a staking attempt when the locket with Mina's admirable picture deflects the blow. ""It was an admirable attempt,"" he admits as he sucks his attacker's blood."
囲,771,イ,かこ.む かこ.う かこ.い,2,besiege; store; paling; enclosure; encircle; preserve; keep,surround,The village surrounded the well with a wall so kids wouldn't fall in.,You get good surround sound when your pent-up in well.
夷,2324,イ,えびす えみし ころ.す たい.らげる,,barbarian; savage; Ainu,ebisu,"When passing through Ebisu in Tokyo, (one stop south of Shibuya) you see an ebisu (= a barbarian/savage) whose pet St. Bernard has swallowed his bow; you can see the shape of the bow sticking through its skin. Notes: 1. I'm locating this in Ebisu to reinforce the sound; the place name Ebisu is actually written with different kanji. 2. As Meconium mentions, stroke order is 一、弓、人.","I don't like the way Heisig doesn't list stroke order in RTK3, like it's not important or something. This is written one, bow, person, not large then person. It's annoying to have to check each time. Note the second leg of person comes from the bottom of bow, not from one."
委,187,イ,ゆだ.ねる,2,entrust to; leave to; devote; discard,committee,"Female WHEAT farmers decide to create a COMMITTEE, which they fittingly name “The WHEAT WOMEN COMMITTEE.”.","At committe meetings, Japanese bureaucrats slurp ramen noodles off of naked women."
威,1103,イ,おど.す おど.し おど.かす,1,dignity; majesty; menace; threaten,intimidate,The march of women - against intimidation in the workplace - is pretty intimidating in itself!,"Interesting that this kanji also has the meanings of ""dignity"" and ""threaten."" I can see how a march of women in Japan would be seen as intimidating by most men."
尉,2007,イ ジョウ,,1,jailer; old man; rank,military officer,Of course it had to be the military officer's idea to glue a national flag to the altar he's stationed at.,"Perhaps you have heard about Koizumis controversial visits at the Yasukuni war memorial shrine. It is the japanese flag waving above a small stone altar. A military officer keeps watch here night and day, to honor the dead war heroes, as if he is glued to the ground."
惟,2246,イ ユイ,おも.んみる これ おも.うに,1,consider; reflect; think,ponder,The state of mind of a turkey is to ponder the meaning of life while waiting to be eaten come November.,"Brain: ""I'm in a lucid state of mind. Pinky, are you pondering what I'm pondering?"" Pinky: ""Yes Brain, but how are we going to get the turkey up here?"""
意,99,イ,,3,mind; heart; taste; thought; desire; care; liking,idea,"When you get a good IDEA you get excited and you can hear the SOUND of your HEART, it's pounding so hard.","Picture someone who's just had a great idea, but in place of a blinking light bulb over their head, you see a heart thumping with great noise. Imagine the greater the idea, the louder the sound of the beating heart."
慰,1158,イ,なぐさ.める なぐさ.む,1,amusement; seduce; cheer; make sport of; comfort; console,consolation,A military officer must offer consolation to the hearts of the families of his fallen men.,"This Kanji appears in the word 慰安婦 いあんふ, which was what the infamous WW II ""comfort women"" were called in Japanese. The story goes something like this: As a way of providing consolation to battle-weary, heartsick military officers and soldiers, the Japanese set up comfort stations (brothels) for their servicemen. (Just to be clear: this is not an endorsement of the practice, just a way to remember the Kanji.)"
易,571,エキ イ,やさ.しい やす.い,2,ready to; simple; fortune-telling; divination,easy,The sun is not an easy place to get to.,"Under the sun, it is easy to untie a knot. Under a pitch-dark sky, it is knot so easy."
椅,2245,イ,,,,chair,"To the Japanese, the first time they saw a chair, it looked like a strange use of wood! Probably why they still like to sit on the floor...",Http://www.pooktre.com/.
為,831,イ,ため な.る な.す す.る たり つく.る なり,1,change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of,do,"In this kanji, you can see 3 katakana characters: ソ, ユ, and then ユ again followed by TAIL FEATHERS. STORY: ""So (ソ) you (ユ) wanna DO it?"" ""Only if you (ユ) do"" says the female bird as she raises her TAIL FEATHERS.","Do me from behind, says the bird, as she shakes her tailfeathers."
畏,2389,イ,おそ.れる かしこま.る かしこ かしこ.し,,fear; majestic; graciously; be apprehensive,apprehensive,The man being tortured was apprehensive as he saw his tormentor approaching with a hairpin poised to pierce his brain!,I’m feeling apprehensive because I’m wading barefoot in a paddyfield and I've just dropped my hairpin.
異,631,イ,こと こと.なる け,2,different; queerness; strangeness; wonderful; curious; unusual,uncommon,"Noah's Ark is so uncommonly large, he can even fit a rice field on top to feed the animals.",_potentially offensive (sorry): It's uncommon to find someone with brains who also believes in the story of Noah's Ark.
移,448,イ,うつ.る うつ.す,2,"move; change; drift; catch (cold, fire); pass into",shift,"Picture the WHEAT field, filled with MANY, MANY stalks of WHEAT. Notice how they SHIFT like waves in the slightest breeze. When you hear SHIFT, just picture that scene.",Many people are making the shift from white to whole wheat bread.
維,643,イ,,1,tie; rope,fiber,"Hey, Spidey! Eat that turkey if you want, but make sure you eat some fibers: you want spidey threads, don't ya?","If you want to increase your fiber intake, just leave on those threads that are used to sew up the stuffed turkey and eat them too."
緯,1430,イ,よこいと ぬき,1,woof; left & right; (parallels of) latitude; prediction,horizontal,Spiderman buys a locket for Mary Jane because he wants to get HORIZONTAL with her.,"Spiderman on a boat, marking the Earth's latitudes. He first attaches a personal locket to a small piece of thread for ballast and good luck, and shoots with his right hand. After a few minutes (and lots and lots of thread), the locket and thread have flown around the world. Spiderman catches the locket with his left hand, and ties the thread's ends together. Voilà."
胃,1647,イ,,2,paunch; crop; craw,stomach,The rice field is harvested once a month to get food for our stomach.,"The stomach is the part of the body that digests food (which, in Japan, is mainly rice)."
萎,,イ,な しお.れる しな.びる しぼ.む な.える,,wither; droop; lame,numb,"The keyword numb makes no sense. I choose 萎む（しぼむ）""to fade away"". A girl lies in a wheat field at the same time every day. A photo is taken every day showing this scene and a time lapse video shows the wheat growing through the year until the wheat is tall and the top sprouts to look like its flowers. At this point, the girl can no longer be seen in the photos and she fades away.",Any FLOWER that will make you go NUMB is likely to be banned by the olympic COMMITTEE. No pain killers.
衣,1214,イ エ,ころも きぬ -ぎ,2,clothes; dressing,garment,The only garments allowed in this club are top hat and scarf.,"The garments most commonly associated with the craft of a magician are the top hat and the magic wand. (It's a stretch, but the way I remembered this kanji is through that phrase. This way you can remember it through using primitives we have already learned.)"
謂,,イ,い.う いい おも.う いわゆる,,reason; origin; history; oral tradition,so-called,"That so-called specialist's exact words were ""don't worry, its just an upset stomach!"" When it turned out to be cancer, his words dried up quick.",The so called flattering WORDS made me sick to my STOMACH.
違,344,イ,ちが.う ちが.い ちが.える -ちが.える たが.う たが.える,2,differ,difference,"You lose your precious locket on the road to somewhere. You ask people if they've seen it, but no luck. ""Just buy another one,"" someone says. ""I mean, what's the difference?"" Then of course you say ""Well, it makes a huge difference!! Since it has sentimental value, I don't want a different one! "" Then of course they understand.","You loose your LOCKET on the ROAD and report it to the 交番. They find one, and show it to you. 「これですか？」 But it's the wrong one... You say, 「いいえ。。違います。。」."
遺,647,イ ユイ,のこ.す,1,leave behind; reserve,bequeath,"Bilbo bequeathes the ""PRECIOUS"" to Frodo, who will carry it on the long ROAD to Mordor.","""Bequeath"" is an odd old word, isn't it? Basically, it just deals with how I want my precious possessions dealt out, after I die, later down the road. ""Being of sound, but antiquated, mind, I bequeath this to you!""."
医,437,イ,い.やす い.する くすし,3,medicine,doctor,The doctor puts the cardboard box on his head and throws a dart at a chart to determine his patients' illnesses.,"This DOCTOR prefers to use DARTS instead of syringes for injections. Here, he pulls out his BOX of DARTS, and the child on the examination table squirms."
井,339,セイ ショウ,い,1,well crib; town; community,well,"I nearly died by falling in a well. Actually, on two separate occasions. I'm glad to see they've added these fence posts. Now the well will be much safer.",Have you ever seen an old fashioned japanese well? == http://cruises.about.com/od/southeastasiacruise1/ig/Osaka-Japan/Ancient-Well-at-Osaka-Castle.htm.
亥,,ガイ カイ,い,1,9-11PM; twelfth sign of the Chinese zodiac,sign of the hog,A greedy hog in a top hat who has eaten all of the acorns. He even elbows people out of the way to get them.,"Top Hat + Elbow + Person: The sign of the hog was a very recognizable tattoo - a hog with a big grin in a top hat, sticking his elbow into the person next to him."
域,396,イキ,,2,region; limits; stage; level,range,"An astronaut lands back at the launch range, kisses the earth beneath him with his mouth, then heads off to a fiesta to celebrate a safe flight.","Instead of Heisig's ""Fiesta"" I use ""Spear"". Why? A spear is just a DROP extra on an Arrow. 域, range actually means range as in limits/boundary/border sort of range(In a box it was the old meaning for Country國 (581). Ok way too much etymology here, but back to story. With your SPEAR standing in a HOLE on the FLOOR with SOIL to its left9as you dug some out), you can see the RANGE of the spear in attacking a possible enemy (re Diablo and other RPGs, spear's have range)."
育,369,イク,そだ.つ そだ.ち そだ.てる はぐく.む,2,grow up; raise; rear,bring up,"Bringing up your offspring means raising them from infant until they are meat ready to be harvested. What, cannibalism is in poor taste? Forget I ever brought it up. But bring up will forver be infant meat to me. I want my baby back baby back baby back ribs!",I will bring up my infants to eat meat. I'll not endure any vegetarian children in my house!
郁,1920,イク,,1,cultural progress; perfume,,,
磯,1444,キ,いそ,1,seashore; beach,rocky beach,"To qualify as a rocky beach (as opposed to a sandy beach), how many stones does the beach need?","""How many stones can you find at a rocky beach?"" the Zen Master asked his baffled pupil."
一,2,イチ イツ,ひと- ひと.つ,4,one radical (no.1),one,"One down, 2041 to go. ;).","This one is too difficult to remember. If the other Kanji are this difficult, I'm giving up."
壱,2351,イチ イツ,ひとつ,1,one (in documents),I (one),"I am 'the one' , says the samurai with the crown around his waist and a spoon up his a***.",The samurai who has been crowned number one is so good he uses a spoon to fight with rather than a sword.
溢,2405,イツ,こぼ.れる あふ.れる み.ちる,,overflow; inundate; spill,brimming,"Water is to the benefit of all live forms, so when a place has a lot of water, you soon see it brimming with life forms.",WATER is brimming with BENEFITS for all living things.
逸,1524,イツ,そ.れる そ.らす はぐ.れる,1,deviate; idleness; leisure; miss the mark; evade; parry; diverge,elude,Bugs Bunny eludes Elmer Fudd by pretending to be roadkill.,"Tip : as a primitive rabbit becomes Bugs Bunny of Looney Tunes fame. Here Bugs Bunny eludes Elmer Fudd the hunter, once again."
稲,1038,トウ テ,いね いな-,1,,rice plant,The rice plant is common in Japan because all the wheat was eaten by vultures in the olden times.,"It used to be that wheat was grown in Japan. However, this was often stolen by vultures, so in olden times, the gods gave the Japanese the rice plant."
茨,1203,シ ジ,いばら かや くさぶき,,thorn,briar,"To prevent animals from eating the beautiful flowers in your garden, the best thing to do is to plant briar bushes immediately next to them.","The briar patch may look unremarkable now before it blooms, but there will be flowers next, and it will be beautiful."
芋,2418,ウ,いも,1,,potato,"If your potatos are growing flowers and those little hooked roots, you should either buy less or eat them faster.","If your potatoes are growing flowers, you need to store them in a more dry place, like hanging them on hooks so they don't accumulate moisture on the floor."
鰯,,,いわし,,(kokuji),sardine,"This is a weak fish -- you just open a can of sardines and there they are, weak and defenseless, ready to be eaten.","Due to its small size, the sardine is a weak fish."
允,2358,イン,じょう まこと.に ゆるす,1,sincerity; permit,license,"In some Asian kung-fu version of James Bond, the main protagonist has a “License To Kill” with his deadly elbows and human legs. His suit is always stained of red blood at the elbows and lower legs (this to help create an image that distinguish the two elements).",You need a license to show your elbows and legs in mid east countries.
印,682,イン,しるし -じるし しる.す,2,seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India,stamp,"Before sticky backs, they had to staple stamps to letters.","Aaaagh, this old stamp doesn't stick! Okay I'll just staple it."
咽,,イン エン エツ,むせ.ぶ むせ.る のど の.む,,throat; choked; smothered; stuffy,windpipe,"You can't breathe very well, so the doc looks inside your mouth to find the cause. ""Oh, I see the cause of your windpipe blockage. There's a St Bernard penned up in there!""","Imagine a group of windpipes chatting: “That mouth is the cause of all my problems, you know, always breathing in germs, etc.”."
員,54,イン,,3,member; number; the one in charge,employee,An employee (member of the company) has to clam up his mouth if he wants keep the job!,An employee is basically a shellfish with a mouth.
因,636,イン,よ.る ちな.む,2,factor; be associated with; depend on; be limited to,cause,We once had a dog with big paws // and oh what great trouble he'd cause // we built a huge pen // to keep him pent in // and stop him from breaking more laws //.,"Why is there poop on the kitchen floor? Oh, the cause is that you kept the dog pent in the house all day. Next time remember to walk him."
姻,1985,イン,,1,marry,matrimony,Matrimony is the state in which the woman has got you pent in like a dog so that you cannot go after other bitches.,"Forget the heisig stuff for this one. To me it looks like a fat girl looking in a mirror and her reflection is skinny, this is how every fat girl should feel on her day of matrimony."
引,218,イン,ひ.く ひ.ける,3,tug; jerk; admit; install; quote; refer to,pull,"Put a walking stick in the bow and pull it back, ready to fire at the geezer.",This is actually a bow and an arrow. (Real origin of this kanji). Pull and release to fire!
飲,969,イン オン,の.む -の.み,4,smoke; take,drink,"When you lack food, just drink something to fill you up.","In Japan, the one thing I always seem to be lacking with my food is a properer sized drink. Instead I have to drink that shot glass of water."
淫,,イン,ひた.す ほしいまま みだ.ら みだ.れる みだり,,lewdness; licentiousness,lewd,"The vulture is on top of the porter and appears to be commiting a lewd act, so I throw water over the pair of them.","The PORTER is lewd like hell. If a female guest tries to enter the hotel, he throws himself on her like a VULTURE. Therefore it is highly recommended for the ladies to bring some cold WATER and pour it over him to cool him down."
胤,,イン,たね,1,descendent; issue; offspring,blood relative,The cocoon like piece of flesh between human legs can produce blood relatives.,"I think Halpern's keyword ""progeny"" is a better fit for this kanji. Then: Progeny – a cocoon-like piece of flesh that drops out between two human legs."
蔭,2166,イン オン,かげ,,shade; shadow; backing assistance,behind the scenes,"Another Heisig RTK3 fail. I'm going to use ""owing to"" as the keyword -- it's mostly used in 御蔭で (thanks to you). Thanks to you, I was even able to grow flowers in the shade, no easy task.","Behind the scenes, in the shady areas, they trade various flowers: oh, yeah, gather 'round the good stuff!"
院,150,イン,,3,institution; temple; mansion; school,Inst.,"The Institution of The Pinnacle is perfect in every way. It is the new House of God, his chosen city.",To reach the pinnacle of kanji perfect you need to attend the Heisig Inst.
陰,1393,イン,かげ かげ.る,1,yin; negative; sex organs; secret; shadow,shade,"The only shade at The Pinnacle is in the shadow of the giant clock tower, or from a rising cloud.","The pinnacle is in the shade, because it has now become cloudy."
隠,1089,イン オン,かく.す かく.し かく.れる よ.る,1,hide; cover,conceal,The wheat farmer's heart is 穏 (#1147) about the eagle not stealing his crops because of the broom scarecrow. But he still conceals all his wheat at The Pinnacle in case anyone else trys to steal it.,"Move the broom with a vulture perched on top, and you'll find the concealed entrance to the heart of The Pinnacle."
韻,2148,イン,,1,elegance; tone,rhyme,What is a RHYME but some SOUND that EMPLOYEES say to get them through work.,"Dr Seuss's employee finally rebels against him: ""I'm tired of odd sounds all the time, I will not, cannot, speak in RHYME!"""
吋,,トウ ドウ スン,インチ,,,inch,"If you GLUE your MOUTH shut, you can't open it one INCH.","The character 寸 (すん）means approx 3.03cm, or a little over 1 INCH. The addition of the MOUTH indicates that this is a western measurement."
右,602,ウ ユウ,みぎ,4,,right,The right side of my brain is for speaking.,"The right hand is for putting food in your mouth. (The other hand is for ass-wiping!). 左右 (さゆう) : left and right, influence, control, domination; 右 (みぎ) : right hand side."
宇,883,ウ,,2,roof; house; heaven,eaves,Under the eaves of the house the poor family has potate plants.,"Very good image Erik. To help those who struggleded with this, the eaves of a house is usually the bit where you hang the roof gutter along, usually made of zinc or plastic and shaped as a half-pipe. It catches rain water, so it flows to a drain pipe instead of down onto people and windows. And in this family the potato plants grow along the eaves so the water pours down on them. They are poor. so no gutter."
烏,2042,ウ オ,からす いずくんぞ なんぞ,,raven,crow,"The book's story is just fine, but I found a kanji dictionary explanation also interesting: As crows are all black, it's hard to see where their eyes are (black on black), so a stroke is removed from the part in the pictograph where the eyes would be.","A crow is a bird, but not a white one. MEANING: write bird, but skip writing one in white."
羽,748,ウ,は わ はね,2,"counter for birds, rabbits",feathers,Pictograph. Easy enough.,These days the biggest concern in airline safety is ICE on the WINGS of the plane. Birds that fly long distances also have to worry about getting ICE on their FEATHERS.
迂,,ウ,,,roundabout way,detour,"Due to potatoes in the road, there was a detour.","A truck had spilt its load of potatoes on the road, forcing us to make a detour."
雨,950,ウ,あめ あま- -さめ,4,,rain,From the ceiling hangs a towel dripping four drops like RAIN.,"The rain falls from the sky, landing like teardrops on my windows."
卯,2400,ボウ モウ,う,1,sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east,sign of the hare,rabbit ears.,"You know how missing childrens' pictures often appear on milk cartons? Well here we have a missing hare. His concerned family is having his picture printed on the backs of receipts and even on stamps. So far, however, there has been no SIGN OF THE HARE."
